iteration,total_iterations,elapsed_seconds,loss,pg_loss,vf_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,reward,episodes,wins,losses,draws,win_pct,loss_pct,draw_pct,episode_length,cities,lr,sps,eval_wins,eval_losses,eval_draws,eval_win_pct
18,2000,427,1.3545,0.0013,2.5645,6.01,0.0201,0.31,1.21,0.02,0.0,208.0,63,32,113,30,15,54,1260.0,0.81,0.0001,32182.0,,,,
19,2000,443,1.3816,0.0016,2.6188,5.95,0.017,0.26,1.24,0.01,0.0,223.0,88,41,94,39,18,42,1176.0,0.8,0.0001,32091.0,,,,
20,2000,459,1.3611,0.0013,2.581,5.995,0.016,0.26,1.25,0.02,0.0,183.0,71,33,79,39,18,43,1432.0,0.78,0.0001,32095.0,,,,
21,2000,476,1.3663,0.0025,2.5903,5.902,0.0195,0.29,1.24,0.02,0.0,218.0,62,49,107,28,22,49,1202.0,0.82,0.0001,30914.0,,,,
22,2000,493,1.3562,0.0004,2.5794,5.992,0.0187,0.3,1.24,0.03,0.0,203.0,61,45,97,30,22,48,1291.0,0.8,0.0001,32181.0,,,,
23,2000,509,1.3349,0.0003,2.5393,6.04,0.0182,0.3,1.22,0.04,0.0,183.0,53,31,99,29,17,54,1432.0,0.88,0.0001,32133.0,,,,
24,2000,525,1.3431,-0.0045,2.5665,6.007,0.0167,0.28,1.21,0.06,0.0,181.0,74,23,84,41,13,46,1448.0,0.96,0.0001,32127.0,,,,
25,2000,542,1.3774,-0.0012,2.6278,5.975,0.0137,0.23,1.24,0.09,0.0,218.0,83,47,88,38,22,40,1202.0,1.05,0.0001,32195.0,,,,
26,2000,558,1.3643,0.0015,2.5954,5.855,0.0145,0.25,1.24,0.17,0.0,198.0,72,40,86,36,20,43,1324.0,1.12,0.0001,32175.0,,,,
27,2000,575,1.3529,0.0033,2.5734,5.914,0.0137,0.23,1.24,0.31,0.0,176.0,64,31,81,36,18,46,1489.0,1.14,0.0001,32137.0,,,,
28,2000,591,1.3287,0.0025,2.5288,6.019,0.0144,0.25,1.25,0.39,0.0,157.0,40,35,82,25,22,52,1670.0,1.18,0.0001,32192.0,,,,
29,2000,607,1.3494,-0.0012,2.5797,5.951,0.0129,0.22,1.29,0.39,0.0,203.0,46,54,103,23,27,51,1291.0,1.22,0.0001,32204.0,,,,
30,2000,624,1.3699,-0.0022,2.6219,5.918,0.0128,0.21,1.27,0.38,0.0,236.0,63,63,110,27,27,47,1111.0,1.13,0.0001,32193.0,,,,
31,2000,640,1.3761,-0.0033,2.6382,5.914,0.0114,0.19,1.33,0.44,0.0,237.0,65,75,97,27,32,41,1106.0,1.01,0.0001,32120.0,,,,
32,2000,656,1.3895,-0.0047,2.6688,5.934,0.0117,0.19,1.38,0.49,0.0,233.0,79,80,74,34,34,32,1125.0,0.99,0.0001,32125.0,,,,
33,2000,673,1.3869,-0.0068,2.6705,5.961,0.0103,0.17,1.55,0.58,0.0,223.0,95,54,74,43,24,33,1176.0,0.97,0.0001,32141.0,,,,
34,2000,689,1.3914,-0.0099,2.6878,5.951,0.01,0.16,1.52,0.6,0.0,263.0,98,76,89,37,29,34,997.0,0.88,0.0001,32127.0,,,,
35,2000,705,1.3805,-0.0072,2.6613,5.923,0.01,0.15,1.57,0.64,0.0,253.0,98,60,95,39,24,38,1036.0,0.85,0.0001,32124.0,,,,
36,2000,722,1.3696,-0.0021,2.631,5.978,0.0107,0.16,1.58,0.72,0.0,231.0,67,63,101,29,27,44,1135.0,0.84,0.0001,32115.0,,,,
37,2000,738,1.3591,-0.0003,2.6075,6.002,0.0089,0.13,1.65,0.77,0.0,214.0,60,60,94,28,28,44,1225.0,0.97,0.0001,32127.0,,,,
38,2000,755,1.3587,-0.0037,2.6128,5.95,0.0104,0.16,1.75,0.77,0.0,247.0,57,68,122,23,28,49,1061.0,1.04,0.0001,32101.0,,,,
39,2000,771,1.3547,-0.0006,2.5982,5.942,0.0105,0.16,1.74,0.83,0.0,212.0,54,54,104,25,25,49,1237.0,1.16,0.0001,32176.0,,,,
40,2000,787,1.3406,-0.0033,2.5789,5.999,0.0103,0.16,2.11,0.87,0.0,197.0,52,42,103,26,21,52,1331.0,1.23,0.0001,32116.0,,,,
41,2000,804,1.3266,0.002,2.5457,6.059,0.0101,0.16,2.36,0.91,0.0,162.0,49,23,90,30,14,56,1618.0,1.19,0.0001,30989.0,,,,
42,2000,821,1.3268,-0.0025,2.5578,6.068,0.0116,0.18,2.69,0.91,0.0,182.0,43,27,112,24,15,62,1440.0,1.05,0.0001,32110.0,,,,
43,2000,837,1.3332,-0.0029,2.5735,6.122,0.0107,0.17,2.33,0.89,0.0,184.0,51,31,102,28,17,55,1425.0,1.0,0.0001,32099.0,,,,
44,2000,853,1.3652,-0.0056,2.6411,6.059,0.0113,0.18,2.42,0.82,0.0,226.0,75,43,108,33,19,48,1160.0,0.98,0.0001,32100.0,,,,
45,2000,870,1.4314,-0.0068,2.7699,6.02,0.0092,0.13,2.65,0.75,0.0,282.0,131,71,80,46,25,28,930.0,1.01,0.0001,32112.0,,,,
46,2000,886,1.4322,-0.0091,2.7763,6.028,0.0093,0.14,3.11,0.81,0.0,294.0,131,78,85,45,27,29,892.0,0.97,0.0001,32106.0,,,,
47,2000,903,1.4318,-0.0083,2.7745,5.974,0.0095,0.14,3.0,0.82,0.0,287.0,98,102,87,34,36,30,913.0,0.88,0.0001,32173.0,,,,
48,2000,919,1.5054,-0.0095,2.9222,5.919,0.007,0.09,4.63,0.78,0.0,372.0,132,150,90,35,40,24,705.0,0.79,0.0001,32131.0,,,,
49,2000,935,1.5321,-0.0079,2.9704,5.811,0.0105,0.16,2.41,0.76,0.0,412.0,145,178,89,35,43,22,636.0,0.64,0.0001,32094.0,42,259,211,8
50,2000,967,1.5308,-0.008,2.967,5.774,0.0119,0.18,2.33,0.77,0.0,412.0,161,183,68,39,44,17,636.0,0.6,0.0001,32298.0,,,,
51,2000,983,1.5813,-0.0145,3.0835,5.774,0.0088,0.12,3.77,0.8,0.0,461.0,173,220,68,38,48,15,569.0,0.56,0.0001,32104.0,,,,
52,2000,1000,1.6035,-0.0177,3.1314,5.692,0.0084,0.11,4.83,0.83,0.0,461.0,186,216,59,40,47,13,569.0,0.46,0.0001,32090.0,,,,
53,2000,1016,1.5973,-0.0193,3.1229,5.702,0.0089,0.12,4.04,0.84,0.0,465.0,195,216,54,42,46,12,564.0,0.38,0.0001,32101.0,,,,
